Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35.0,0,Travel_Rarely,809,Research & Development,16,3,Medical,14,1.0,Male,84,4,1,Laboratory Technician,2.0,Married,2426.0,16479,0,No,13,3,3,1,6,3.0,3.0,5.0,4,0,3
29.0,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,15,4.0,Female,49,2,2,Laboratory Technician,3.0,Single,4193.0,12682,0,Yes,12,3,4,0,10,3.0,3.0,9.0,5,0,8
31.0,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,16,1.0,Male,31,3,1,Research Scientist,3.0,Divorced,4960.0,15170,1,No,17,3,4,1,5,1.0,2.0,5.0,2,4,3
34.0,0,Travel_Rarely,1346,Research & Development,19,2,Medical,18,2.0,Male,93,3,1,Laboratory Technician,3.0,Divorced,4960.0,8758,0,No,11,3,3,1,3,2.0,3.0,2.0,2,1,2
28.0,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,19,3.0,Male,50,2,1,Laboratory Technician,3.0,Single,2028.0,12947,5,Yes,14,3,2,0,6,4.0,3.0,65.0,2,0,3
36.0,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,20,2.0,Female,51,4,3,Manufacturing Director,3.0,Divorced,9980.0,10195,1,No,11,3,3,1,10,1.0,3.0,10.0,9,8,8
32.0,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,21,1.0,Male,80,4,1,Research Scientist,2.0,Divorced,3298.0,15053,0,Yes,12,3,4,2,7,5.0,2.0,6.0,2,0,5
22.0,0,Non-Travel,1123,Research & Development,16,2,Medical,22,4.0,Male,96,4,1,Laboratory Technician,4.0,Divorced,2935.0,7324,1,Yes,13,3,2,2,1,2.0,2.0,1.0,0,0,0
53.0,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,23,3.0,Male,78,2,4,Manager,4.0,Married,4960.0,22021,2,No,16,3,3,0,31,3.0,3.0,25.0,8,3,7
38.0,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,24,4.0,Male,45,3,1,Research Scientist,4.0,Single,3944.0,4306,5,Yes,11,3,3,0,6,3.0,3.0,5.0,2,1,2
24.0,0,Non-Travel,673,Research & Development,11,2,Other,26,1.0,Female,96,4,2,Manufacturing Director,3.0,Divorced,4011.0,8232,0,No,18,3,4,1,5,5.0,2.0,4.0,2,1,3
36.0,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,27,3.0,Male,82,2,1,Sales Representative,1.0,Single,500000.0,6986,7,No,23,4,2,0,10,4.0,3.0,5.0,3,0,3
34.0,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,28,3.0,Female,53,3,3,Research Director,2.0,Single,11994.0,21293,0,No,11,3,3,0,13,4.0,3.0,12.0,6,2,11
21.0,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,30,3.0,Male,96,3,1,Research Scientist,4.0,Single,1232.0,19281,1,No,14,3,4,0,0,6.0,3.0,0.0,0,0,0
34.0,1,Travel_Rarely,699,Research & Development,6,1,Medical,31,3.0,Male,83,3,1,Research Scientist,1.0,Single,2960.0,17102,2,No,11,3,3,0,8,2.0,3.0,55.0,2,1,3
36.0,0,Travel_Rarely,1282,Research & Development,5,3,Other,32,3.0,Female,58,3,5,Manager,3.0,Divorced,19094.0,10735,4,No,11,3,4,1,26,3.0,3.0,14.0,13,4,8
32.0,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,33,2.0,Female,72,1,1,Research Scientist,3.0,Single,3919.0,4681,1,Yes,22,4,2,0,10,5.0,3.0,10.0,2,6,7
42.0,0,Travel_Rarely,691,Sales,8,4,Marketing,35,3.0,Male,48,3,2,Sales Executive,2.0,Married,6825.0,21173,0,No,11,3,4,1,10,2.0,3.0,9.0,7,4,2
44.0,0,Travel_Rarely,477,Research & Development,7,4,Medical,36,1.0,Female,42,2,3,Healthcare Representative,4.0,Married,4960.0,2094,3,No,14,3,4,1,24,4.0,3.0,22.0,6,5,17
46.0,0,Travel_Rarely,705,Sales,2,4,Marketing,38,2.0,Female,83,3,5,Manager,1.0,Single,18947.0,22822,3,No,12,3,4,0,22,2.0,2.0,2.0,2,2,1
33.0,0,Travel_Rarely,924,Research & Development,2,3,Medical,39,3.0,Male,78,3,1,Laboratory Technician,4.0,Single,2496.0,6670,4,No,11,3,4,0,7,3.0,3.0,1.0,1,0,0
44.0,0,Travel_Rarely,1459,Research & Development,10,4,Other,40,4.0,Male,41,3,2,Healthcare Representative,3.0,Married,4960.0,19121,2,Yes,13,3,4,0,9,5.0,4.0,4.0,2,1,3
30.0,0,Travel_Rarely,125,Research & Development,9,2,Medical,41,4.0,Male,83,2,1,Laboratory Technician,3.0,Single,2206.0,16117,1,No,13,3,1,0,10,5.0,3.0,10.0,0,1,8
36.0,1,Travel_Rarely,895,Sales,5,3,Technical Degree,42,4.0,Male,56,3,2,Sales Representative,3.0,Married,2086.0,3335,3,No,14,3,3,1,19,6.0,4.0,1.0,0,0,0
24.0,1,Travel_Rarely,813,Research & Development,1,3,Medical,45,3.0,Male,61,3,1,Research Scientist,4.0,Married,2293.0,3020,2,Yes,16,3,1,1,6,3.0,2.0,2.0,0,2,0
43.0,0,Travel_Rarely,1273,Research & Development,2,2,Medical,46,4.0,Female,72,4,1,RESEARCH SCIENTIST,3.0,Divorced,4960.0,21923,1,No,12,3,4,2,6,3.0,2.0,5.0,3,1,4
36.0,1,Travel_Rarely,869,Sales,3,2,Marketing,47,1.0,Male,86,2,1,Sales Representative,3.0,Married,4960.0,3810,1,Yes,14,3,3,0,3,2.0,3.0,3.0,2,0,2
35.0,0,Travel_Rarely,890,Sales,2,3,Marketing,49,3.0,Female,97,3,1,Sales Representative,3.0,Married,2014.0,9687,1,No,13,3,1,0,2,3.0,3.0,5.0,2,2,2
36.0,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,51,2.0,Female,82,2,1,Research Scientist,1.0,Married,3419.0,13072,9,Yes,14,3,4,1,6,3.0,4.0,5.0,1,0,0
33.0,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,52,3.0,Female,42,4,2,Sales Executive,1.0,Married,5376.0,3193,2,No,19,3,1,2,10,3.0,3.0,5.0,3,1,3
35.0,0,Travel_Rarely,464,Research & Development,4,2,Other,53,3.0,Male,75,3,1,Laboratory Technician,3.0,Divorced,1951.0,10910,1,No,12,3,3,1,1,3.0,3.0,1.0,0,0,0
27.0,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,54,4.0,Female,33,3,1,Laboratory Technician,1.0,Divorced,2341.0,19715,1,No,13,3,4,1,1,6.0,3.0,1.0,0,0,0
26.0,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,55,1.0,Male,48,1,1,Laboratory Technician,3.0,Single,4960.0,10558,1,No,12,3,3,0,1,2.0,2.0,1.0,0,0,1
36.0,0,Travel_Frequently,994,Sales,8,3,Life Sciences,56,4.0,Male,37,3,3,Sales Executive,3.0,Single,8726.0,2975,1,No,15,3,4,0,9,0.0,3.0,9.0,8,1,7
30.0,0,Travel_Frequently,721,Research & Development,1,2,Medical,57,3.0,Female,58,3,2,Laboratory Technician,4.0,Single,4011.0,10781,1,No,23,4,4,0,12,2.0,3.0,12.0,8,3,7
36.0,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,58,2.0,Female,49,3,5,Research Director,3.0,Married,19545.0,16280,1,No,12,3,4,0,23,0.0,3.0,22.0,15,15,8
34.0,0,Non-Travel,1065,Sales,23,4,Marketing,60,2.0,Male,72,3,2,Sales Executive,3.0,Single,4568.0,10034,0,No,20,4,3,0,10,2.0,3.0,9.0,5,8,7
37.0,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,61,2.0,Male,73,3,1,Research Scientist,2.0,Married,3022.0,10227,4,No,21,4,1,0,8,1.0,3.0,1.0,0,0,0
46.0,0,Travel_Frequently,1211,Sales,5,4,Marketing,62,1.0,Male,98,3,2,Sales Executive,4.0,Single,4960.0,20445,4,Yes,21,4,3,0,14,4.0,3.0,5.0,6,0,8
35.0,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,63,4.0,Male,36,4,1,Laboratory Technician,4.0,Married,2269.0,4892,1,No,19,3,4,0,1,2.0,3.0,1.0,0,0,1
48.0,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,64,1.0,Male,98,2,3,Laboratory Technician,3.0,Single,5381.0,19294,9,Yes,13,3,4,0,23,2.0,3.0,1.0,0,0,0
36.0,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,65,3.0,Male,50,3,1,Laboratory Technician,3.0,Single,3441.0,11179,1,Yes,13,3,3,0,2,3.0,2.0,2.0,2,2,2
44.0,0,Travel_Rarely,1488,Sales,1,5,Marketing,68,2.0,Female,75,3,2,Sales Executive,1.0,Divorced,5454.0,4009,5,Yes,21,4,3,1,9,2.0,2.0,4.0,3,1,3
35.0,0,Non-Travel,1097,Research & Development,11,2,Medical,70,3.0,Male,79,2,3,Healthcare Representative,1.0,Married,9884.0,8302,2,Yes,13,3,3,1,10,3.0,3.0,4.0,0,2,3
26.0,0,Travel_Rarely,1443,Sales,23,3,Marketing,72,3.0,Female,47,2,2,Sales Executive,4.0,Married,4157.0,21436,7,Yes,19,3,3,1,5,2.0,2.0,2.0,2,0,0
33.0,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,73,1.0,Female,98,3,3,Research Director,4.0,Single,13458.0,15146,1,Yes,12,3,3,0,15,1.0,3.0,15.0,14,8,12
35.0,0,Travel_Frequently,853,Sales,18,5,Life Sciences,74,3.0,Male,71,3,3,Sales Executive,1.0,Married,9069.0,11031,1,No,22,4,4,1,9,3.0,2.0,9.0,8,1,8
35.0,0,Travel_Rarely,1142,Research & Development,23,4,Medical,75,3.0,Female,30,3,1,Laboratory Technician,1.0,Married,4014.0,16002,3,Yes,15,3,3,1,4,3.0,3.0,2.0,2,2,2
31.0,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,76,3.0,Male,48,3,2,Laboratory Technician,4.0,Divorced,5915.0,9528,3,No,22,4,4,1,10,3.0,2.0,7.0,7,1,7
37.0,0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,77,1.0,Male,51,2,2,Manufacturing Director,3.0,Divorced,5993.0,2689,1,No,18,3,3,1,7,2.0,4.0,7.0,5,0,7
32.0,0,Travel_Rarely,427,Research & Development,1,3,Medical,78,1.0,Male,33,3,2,Manufacturing Director,4.0,Married,6162.0,10877,1,Yes,22,4,2,1,9,3.0,3.0,9.0,8,7,8
38.0,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,79,4.0,Female,50,3,2,Laboratory Technician,4.0,Single,4960.0,5456,1,No,11,3,4,0,10,2.0,3.0,10.0,3,9,9
50.0,0,Travel_Rarely,989,Research & Development,7,2,Medical,80,2.0,Female,43,2,5,Research Director,3.0,Divorced,18740.0,16701,5,Yes,12,3,4,1,29,2.0,2.0,27.0,3,13,8
59.0,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,81,1.0,Female,99,3,3,Sales Executive,1.0,Single,7637.0,2354,7,No,11,3,4,0,28,3.0,2.0,5.0,16,7,9
36.0,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,83,3.0,Female,59,3,3,Healthcare Representative,3.0,Divorced,10096.0,8202,1,No,13,3,2,3,17,2.0,3.0,17.0,14,12,8
55.0,0,Travel_Rarely,836,Research & Development,8,3,Medical,84,4.0,Female,33,3,4,Manager,3.0,Divorced,14756.0,19730,2,Yes,14,3,3,3,21,2.0,3.0,5.0,0,0,2
36.0,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,85,2.0,Male,95,2,2,Manufacturing Director,2.0,Single,6499.0,22656,1,No,13,3,3,0,6,3.0,3.0,6.0,5,0,3
45.0,0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,86,2.0,Male,59,3,3,Research Scientist,1.0,Divorced,9724.0,18787,2,No,17,3,3,1,25,2.0,3.0,1.0,0,0,0
35.0,0,Travel_Frequently,664,Research & Development,1,3,Medical,88,2.0,Male,79,3,1,Research Scientist,1.0,Married,2194.0,5868,4,No,13,3,4,1,5,2.0,2.0,3.0,2,1,2
36.0,1,Travel_Rarely,318,research & development,9,3,Medical,90,4.0,Male,79,2,1,Research Scientist,3.0,Married,3388.0,21777,0,Yes,17,3,1,1,2,0.0,2.0,1.0,0,0,0
59.0,0,Travel_Frequently,1225,Sales,1,1,Life Sciences,91,1.0,Female,57,2,2,Sales Executive,3.0,Single,5473.0,24668,7,No,11,3,4,0,20,2.0,2.0,4.0,3,1,3
29.0,0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,94,3.0,Male,76,3,1,Research Scientist,2.0,Married,2703.0,4956,0,No,23,4,4,1,6,3.0,3.0,5.0,4,0,4
31.0,0,Travel_Rarely,1082,Research & Development,1,4,Medical,95,3.0,Male,87,3,1,Research Scientist,2.0,Single,2501.0,18775,1,No,17,3,2,0,1,4.0,3.0,1.0,1,1,0
32.0,0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,96,2.0,Male,66,3,2,Research Scientist,2.0,Married,6220.0,7346,1,No,17,3,2,2,10,3.0,3.0,10.0,4,0,9
36.0,0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,97,2.0,Female,55,4,1,Laboratory Technician,4.0,Married,3038.0,22002,3,No,12,3,2,0,5,3.0,3.0,1.0,0,0,0
31.0,0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,98,3.0,Female,61,3,2,Manufacturing Director,4.0,Single,4424.0,20682,1,No,23,4,4,0,11,2.0,3.0,11.0,7,1,8
35.0,0,Travel_Rarely,776,Sales,1,4,Marketing,100,3.0,Male,32,2,2,Sales Executive,1.0,Single,4960.0,23016,0,No,14,3,2,0,16,2.0,3.0,15.0,13,2,8
45.0,0,Travel_Rarely,193,Research & Development,6,4,Other,101,4.0,Male,52,3,3,Research Director,3.0,Married,13245.0,15067,4,Yes,14,3,2,0,17,3.0,4.0,0.0,0,0,0
37.0,0,Travel_Rarely,397,Research & Development,7,4,Medical,102,1.0,Male,30,3,3,Research Director,3.0,Single,13664.0,25258,4,No,13,3,1,0,16,3.0,4.0,75.0,2,0,2
46.0,0,Travel_Rarely,945,Human Resources,5,2,Medical,103,2.0,Male,80,3,2,Human Resources,2.0,Divorced,5021.0,10425,8,Yes,22,4,4,1,16,2.0,3.0,5.0,2,0,2
36.0,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,104,4.0,Male,55,2,2,Laboratory Technician,4.0,Married,5126.0,15998,1,Yes,12,3,3,2,10,1.0,2.0,10.0,8,3,0
35.0,0,Travel_Rarely,1214,Research & Development,1,3,Medical,105,2.0,Male,30,2,1,Research Scientist,3.0,Single,2859.0,26278,1,No,18,3,1,0,6,3.0,3.0,6.0,4,0,4
55.0,0,Travel_Rarely,111,Sales,1,2,Life Sciences,106,1.0,Male,70,3,3,Sales Executive,4.0,Married,10239.0,18092,3,No,14,3,4,1,24,4.0,3.0,1.0,0,1,0
38.0,0,Non-Travel,573,Research & Development,6,3,Medical,107,2.0,Female,79,1,2,Research Scientist,4.0,Divorced,5329.0,15717,7,Yes,12,3,4,3,17,3.0,3.0,13.0,11,1,9
36.0,0,Travel_Rarely,1153,Research & Development,1,2,Medical,110,1.0,Male,94,3,2,Manufacturing Director,3.0,Married,4325.0,17736,1,No,15,3,3,0,5,2.0,3.0,5.0,2,1,3
36.0,0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,112,4.0,Male,49,1,3,Manufacturing Director,4.0,Single,7260.0,21698,4,No,11,3,1,0,37,3.0,2.0,6.0,4,0,2
23.0,0,Travel_Rarely,541,Sales,2,1,Technical Degree,113,3.0,Male,62,3,1,Sales Representative,1.0,Divorced,2322.0,9518,3,No,13,3,3,1,3,3.0,3.0,0.0,0,0,0
51.0,0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,116,4.0,Male,96,3,1,Laboratory Technician,4.0,Married,2075.0,18725,3,No,23,4,2,2,10,4.0,3.0,4.0,2,0,3
30.0,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,117,3.0,Male,99,2,2,Healthcare Representative,4.0,Married,4152.0,15830,1,No,19,3,1,3,11,3.0,3.0,11.0,10,10,8
46.0,1,Travel_Rarely,669,Sales,9,2,Medical,118,3.0,Male,64,2,3,Sales Executive,4.0,Single,9619.0,13596,1,No,16,3,4,0,9,3.0,3.0,9.0,8,4,7
40.0,0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,119,3.0,Male,78,2,4,Healthcare Representative,2.0,Married,13503.0,14115,1,No,22,4,4,1,22,3.0,2.0,22.0,3,11,11
51.0,0,Travel_Rarely,632,Sales,21,4,Marketing,120,3.0,Male,71,3,2,Sales Executive,4.0,Single,5441.0,8423,0,Yes,22,4,4,0,11,2.0,1.0,10.0,7,1,0
30.0,0,Travel_Rarely,1334,Sales,4,2,Medical,121,3.0,Female,63,2,2,Sales Executive,2.0,Divorced,5209.0,19760,1,Yes,12,3,2,3,11,4.0,2.0,11.0,8,2,7
46.0,0,Travel_Frequently,638,Research & Development,1,3,Medical,124,3.0,Male,40,2,3,Healthcare Representative,1.0,Married,10673.0,3142,2,Yes,13,3,3,1,21,5.0,2.0,10.0,9,9,5
32.0,0,Travel_Rarely,1093,Sales,6,4,Medical,125,2.0,Male,87,3,2,Sales Executive,3.0,Single,5010.0,24301,1,No,16,3,1,0,12,0.0,3.0,11.0,8,5,7
54.0,0,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,126,1.0,Female,60,3,3,Research Director,3.0,Married,13549.0,24001,9,No,12,3,1,1,16,5.0,1.0,4.0,3,0,3
36.0,0,Travel_Rarely,1353,SALES,3,2,Other,128,1.0,Female,33,3,2,Sales Executive,3.0,Married,4999.0,17519,0,No,21,4,1,1,4,2.0,2.0,3.0,2,0,2
28.0,0,Non-Travel,120,Sales,4,3,Medical,129,2.0,Male,43,3,2,Sales Executive,3.0,Married,4221.0,8863,1,No,15,3,2,0,5,3.0,4.0,5.0,4,0,4
58.0,0,Travel_Rarely,682,Sales,10,4,Medical,131,4.0,Male,37,3,4,Sales Executive,3.0,Single,13872.0,24409,0,No,13,3,3,0,38,1.0,2.0,37.0,10,1,8
44.0,0,Non-Travel,489,Research & Development,23,3,Medical,132,3.0,Male,67,3,2,Laboratory Technician,2.0,Married,2042.0,25043,4,No,12,3,3,1,17,3.0,4.0,3.0,2,1,2
37.0,1,Travel_Rarely,807,Human Resources,6,4,Human Resources,133,3.0,Male,63,3,1,Human Resources,1.0,Divorced,2073.0,23648,4,Yes,22,4,4,0,7,3.0,3.0,3.0,2,0,2
36.0,0,Travel_Rarely,827,Research & Development,1,1,Life Sciences,134,4.0,Male,71,3,1,Research Scientist,1.0,Single,2956.0,15178,1,No,13,3,4,0,1,2.0,3.0,1.0,0,0,0
20.0,1,Travel_Frequently,871,Research & Development,6,3,Life Sciences,137,4.0,Female,66,2,1,Laboratory Technician,4.0,Single,2926.0,19783,1,Yes,18,3,2,0,1,5.0,3.0,1.0,0,1,0
34.0,0,Travel_Rarely,665,Research & Development,6,4,Other,138,1.0,Female,41,3,2,Research Scientist,3.0,Single,4960.0,12482,1,No,14,3,3,0,16,3.0,3.0,16.0,13,2,10
37.0,0,Non-Travel,1040,Research & Development,2,2,Life Sciences,139,3.0,Male,100,2,2,Healthcare Representative,4.0,Other,4960.0,15850,5,No,14,3,4,1,17,2.0,4.0,1.0,0,0,0
36.0,0,Non-Travel,1420,Human Resources,2,4,Human Resources,140,3.0,Female,32,2,5,Manager,4.0,Married,18844.0,21922,9,No,21,4,4,1,30,3.0,3.0,5.0,2,2,2
50.0,0,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,141,1.0,Female,73,3,5,Research Director,2.0,Married,18172.0,9755,3,Yes,19,3,1,0,28,1.0,2.0,8.0,3,0,7
25.0,1,Travel_Rarely,240,Sales,5,3,Marketing,142,3.0,Male,46,2,2,Sales Executive,3.0,Single,5744.0,26959,1,Yes,11,3,4,0,6,1.0,3.0,6.0,4,0,3
25.0,0,Travel_Rarely,1280,Research & Development,7,1,Medical,143,4.0,Unknown,64,2,1,Research Scientist,4.0,Married,2889.0,26897,1,No,11,3,3,2,2,2.0,3.0,2.0,2,2,1
22.0,0,Travel_Rarely,534,Research & Development,15,3,Medical,144,2.0,Female,59,3,1,Laboratory Technician,4.0,Single,2871.0,23785,1,No,15,3,3,0,1,5.0,3.0,0.0,0,0,0
51.0,0,Travel_Frequently,1456,Research & Development,1,4,Medical,145,1.0,Female,30,2,3,Healthcare Representative,1.0,Single,7484.0,25796,3,No,20,4,3,0,23,1.0,2.0,13.0,12,12,8
36.0,1,Travel_Frequently,658,Research & Development,7,3,Life Sciences,147,1.0,Male,66,1,2,Laboratory Technician,3.0,Single,6074.0,22887,1,Yes,24,4,4,0,9,3.0,3.0,9.0,7,0,6
54.0,0,Non-Travel,142,Human Resources,26,3,Human Resources,148,4.0,Female,30,4,4,Manager,4.0,Single,17328.0,13871,2,Yes,12,3,3,0,23,3.0,3.0,5.0,3,4,4
24.0,0,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,150,2.0,Male,52,3,1,Laboratory Technician,3.0,Married,2774.0,13257,0,No,12,3,3,1,6,2.0,3.0,5.0,3,1,2
34.0,0,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,151,3.0,Female,45,2,2,Research Scientist,2.0,Divorced,4505.0,15000,6,No,15,3,3,1,12,3.0,3.0,1.0,0,0,0
37.0,0,Travel_Rarely,1189,Sales,3,3,Life Sciences,152,3.0,Male,87,3,3,Sales Executive,4.0,Single,7428.0,14506,2,No,12,3,1,0,12,3.0,3.0,5.0,3,1,3
34.0,0,Travel_Rarely,1354,Research & Development,5,3,Medical,153,3.0,Female,45,2,3,Manager,1.0,Single,11631.0,5615,2,No,12,3,4,0,14,6.0,3.0,5.0,10,5,8
36.0,0,Travel_Frequently,1467,Sales,11,2,Technical Degree,154,2.0,Female,92,3,3,Sales Executive,4.0,Married,9738.0,22952,0,No,14,3,3,1,10,6.0,3.0,9.0,7,2,8
36.0,0,Travel_Rarely,922,Research & Development,3,2,Life Sciences,155,1.0,Female,39,3,1,laboratory technician,4.0,Divorced,2835.0,2561,5,No,22,4,1,1,7,2.0,3.0,1.0,0,0,0
43.0,0,Travel_Frequently,394,Sales,26,2,Life Sciences,158,3.0,Male,92,3,4,Manager,4.0,Married,16959.0,19494,1,Yes,12,3,4,2,25,3.0,3.0,25.0,12,4,12
30.0,0,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,159,1.0,Male,96,1,1,Research Scientist,3.0,Divorced,2613.0,22310,1,No,25,4,3,3,10,2.0,2.0,10.0,7,0,9
33.0,0,Non-Travel,750,Sales,22,2,Marketing,160,3.0,Male,95,3,2,Sales Executive,2.0,Married,6146.0,15480,0,No,13,3,1,1,8,2.0,4.0,7.0,7,0,7
56.0,1,Travel_Rarely,441,Research & Development,14,4,Life Sciences,161,2.0,Female,72,3,1,Research Scientist,3.0,Married,4963.0,4510,9,Yes,18,3,1,3,7,2.0,3.0,5.0,4,4,3
51.0,0,Travel_Rarely,684,Research & Development,6,3,Life Sciences,162,1.0,Male,51,3,5,Research Director,3.0,Single,19537.0,6462,7,No,13,3,3,0,23,5.0,3.0,20.0,18,15,15
31.0,1,Travel_Rarely,249,Sales,6,4,Life Sciences,163,2.0,Male,76,1,2,Sales Executive,3.0,Married,6172.0,20739,4,Yes,18,3,2,0,12,3.0,2.0,7.0,7,7,7
26.0,0,Travel_Rarely,841,Research & Development,6,3,Other,164,3.0,Female,46,2,1,Research Scientist,2.0,Married,2368.0,23300,1,No,19,3,3,0,5,3.0,2.0,5.0,4,4,3
36.0,1,Travel_Rarely,147,Research & Development,23,4,Medical,165,4.0,Female,94,3,3,Healthcare Representative,3.0,Married,10312.0,3465,1,No,12,3,4,1,40,3.0,2.0,40.0,10,15,6
19.0,1,Travel_Rarely ,528,Sales,22,1,Marketing,167,4.0,Male,50,3,1,Sales Representative,3.0,Single,1675.0,26820,1,Yes,19,3,4,0,0,2.0,2.0,100.0,0,0,0
22.0,0,Travel_Rarely,594,Research & Development,2,1,Technical Degree,169,3.0,Male,100,3,1,Laboratory Technician,4.0,Married,2523.0,19299,0,No,14,3,3,1,3,2.0,3.0,2.0,1,2,1
49.0,0,Travel_Rarely,470,Research & Development,20,4,Medical,170,3.0,Female,96,3,2,MANUFACTURING DIRECTOR,3.0,Married,6567.0,5549,1,No,14,3,3,0,16,2.0,2.0,15.0,11,5,11
